epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,105.847,0.44397,0.29858,0.84748,0.95399,1,0.995,0.91286,0.51278,0.30234,0.88327,0.000525728,0.000525728,0.000525728
148,106.581,0.44926,0.29746,0.84224,0.94981,1,0.995,0.93108,0.51715,0.30263,0.88364,0.000520548,0.000520548,0.000520548
149,107.269,0.45153,0.29555,0.84782,0.94981,1,0.995,0.93108,0.51715,0.30263,0.88364,0.000515366,0.000515366,0.000515366
150,107.972,0.43366,0.30134,0.86536,0.94981,1,0.995,0.93108,0.51715,0.30263,0.88364,0.000510184,0.000510184,0.000510184
151,108.69,0.45793,0.30652,0.84736,0.94981,1,0.995,0.93108,0.51715,0.30263,0.88364,0.000505,0.000505,0.000505
152,109.424,0.51354,0.32342,0.87396,0.93338,1,0.995,0.93016,0.49636,0.31485,0.87553,0.000499816,0.000499816,0.000499816
153,110.08,0.46729,0.31492,0.92195,0.93338,1,0.995,0.93016,0.49636,0.31485,0.87553,0.000494634,0.000494634,0.000494634
154,110.752,0.44967,0.31942,0.84718,0.93338,1,0.995,0.93016,0.49636,0.31485,0.87553,0.000489452,0.000489452,0.000489452
155,111.471,0.46731,0.31947,0.834,0.93338,1,0.995,0.93016,0.49636,0.31485,0.87553,0.000484272,0.000484272,0.000484272
156,112.142,0.44568,0.31632,0.85581,0.94656,1,0.995,0.92719,0.47596,0.29582,0.86628,0.000479094,0.000479094,0.000479094
157,112.83,0.44127,0.29714,0.85539,0.94656,1,0.995,0.92719,0.47596,0.29582,0.86628,0.000473919,0.000473919,0.000473919
158,113.58,0.41123,0.31067,0.88515,0.94656,1,0.995,0.92719,0.47596,0.29582,0.86628,0.000468747,0.000468747,0.000468747
159,114.283,0.43977,0.29919,0.84843,0.94656,1,0.995,0.92719,0.47596,0.29582,0.86628,0.000463579,0.000463579,0.000463579
160,114.97,0.43438,0.29548,0.87028,0.95738,1,0.995,0.89892,0.47612,0.27513,0.86634,0.000458416,0.000458416,0.000458416
161,115.626,0.4272,0.28285,0.85823,0.95738,1,0.995,0.89892,0.47612,0.27513,0.86634,0.000453258,0.000453258,0.000453258
162,116.298,0.43551,0.28611,0.87062,0.95738,1,0.995,0.89892,0.47612,0.27513,0.86634,0.000448106,0.000448106,0.000448106
163,116.969,0.43142,0.28773,0.86638,0.95738,1,0.995,0.89892,0.47612,0.27513,0.86634,0.00044296,0.00044296,0.00044296
164,117.688,0.44938,0.28631,0.84702,0.95645,1,0.995,0.8886,0.48464,0.27793,0.86974,0.000437821,0.000437821,0.000437821
165,118.391,0.45689,0.28981,0.83776,0.95645,1,0.995,0.8886,0.48464,0.27793,0.86974,0.000432689,0.000432689,0.000432689
166,119.063,0.43523,0.27793,0.84848,0.95645,1,0.995,0.8886,0.48464,0.27793,0.86974,0.000427565,0.000427565,0.000427565
167,119.719,0.40187,0.27309,0.84759,0.95645,1,0.995,0.8886,0.48464,0.27793,0.86974,0.000422449,0.000422449,0.000422449
168,120.422,0.42547,0.27716,0.85863,0.95472,1,0.995,0.89812,0.51175,0.30755,0.8785,0.000417343,0.000417343,0.000417343
169,121.062,0.46708,0.35584,0.94474,0.95472,1,0.995,0.89812,0.51175,0.30755,0.8785,0.000412246,0.000412246,0.000412246
170,121.843,0.49569,0.36762,0.92975,0.95472,1,0.995,0.89812,0.51175,0.30755,0.8785,0.00040716,0.00040716,0.00040716
171,122.515,0.45313,0.28689,0.85061,0.95472,1,0.995,0.89812,0.51175,0.30755,0.8785,0.000402084,0.000402084,0.000402084
172,123.218,0.42468,0.28311,0.86967,0.94868,1,0.995,0.93366,0.49736,0.31095,0.87293,0.000397019,0.000397019,0.000397019
173,123.921,0.44037,0.2839,0.83991,0.94868,1,0.995,0.93366,0.49736,0.31095,0.87293,0.000391966,0.000391966,0.000391966
174,124.655,0.4947,0.32325,0.87804,0.94868,1,0.995,0.93366,0.49736,0.31095,0.87293,0.000386926,0.000386926,0.000386926
175,125.342,0.45896,0.29643,0.84134,0.94868,1,0.995,0.93366,0.49736,0.31095,0.87293,0.000381899,0.000381899,0.000381899
176,126.061,0.44539,0.28234,0.85109,0.94848,1,0.995,0.92177,0.46604,0.29358,0.86183,0.000376885,0.000376885,0.000376885
177,126.733,0.43947,0.28821,0.83865,0.94848,1,0.995,0.92177,0.46604,0.29358,0.86183,0.000371885,0.000371885,0.000371885
178,127.389,0.44018,0.28674,0.86232,0.94848,1,0.995,0.92177,0.46604,0.29358,0.86183,0.000366899,0.000366899,0.000366899
179,128.045,0.47688,0.2924,0.86107,0.94848,1,0.995,0.92177,0.46604,0.29358,0.86183,0.000361929,0.000361929,0.000361929
180,128.748,0.44429,0.28088,0.84023,0.94949,1,0.995,0.92852,0.46651,0.27496,0.86163,0.000356975,0.000356975,0.000356975
181,129.42,0.41812,0.28631,0.85536,0.94949,1,0.995,0.92852,0.46651,0.27496,0.86163,0.000352037,0.000352037,0.000352037
182,130.169,0.41326,0.27596,0.86363,0.94949,1,0.995,0.92852,0.46651,0.27496,0.86163,0.000347115,0.000347115,0.000347115
183,130.904,0.42981,0.28656,0.86893,0.94949,1,0.995,0.92852,0.46651,0.27496,0.86163,0.000342211,0.000342211,0.000342211
184,131.607,0.44082,0.28133,0.83739,0.94765,1,0.995,0.90546,0.49394,0.27517,0.87125,0.000337325,0.000337325,0.000337325
185,132.278,0.39215,0.26666,0.84974,0.94765,1,0.995,0.90546,0.49394,0.27517,0.87125,0.000332457,0.000332457,0.000332457
186,132.973,0.42118,0.27368,0.86357,0.94765,1,0.995,0.90546,0.49394,0.27517,0.87125,0.000327608,0.000327608,0.000327608
187,133.645,0.43687,0.2741,0.84637,0.94765,1,0.995,0.90546,0.49394,0.27517,0.87125,0.000322778,0.000322778,0.000322778
